participant_id,interactive_feature,phrase_pair,rating
1,IT,Difficult to use - Easy to use,5
1,IT,Does not form immediate impression - Forms immediate impression,4
1,IT,Conventional - Innovative,3
1,IT,Redundant - Informative,5
1,IT,Hindering - Helpful,5
1,IT,Boring - Entertaining,4
1,IT,Ugly - Elegant,4
1,LB,Difficult to use - Easy to use,5
1,LB,Does not form immediate impression - Forms immediate impression,5
1,LB,Conventional - Innovative,4
1,LB,Redundant - Informative,5
1,LB,Hindering - Helpful,5
1,LB,Boring - Entertaining,5
1,LB,Ugly - Elegant,5
1,CSA,Difficult to use - Easy to use,5
1,CSA,Does not form immediate impression - Forms immediate impression,5
1,CSA,Conventional - Innovative,4
1,CSA,Redundant - Informative,5
1,CSA,Hindering - Helpful,5
1,CSA,Boring - Entertaining,5
1,CSA,Ugly - Elegant,5
2,IT,Difficult to use - Easy to use,4
2,IT,Does not form immediate impression - Forms immediate impression,5
2,IT,Conventional - Innovative,5
2,IT,Redundant - Informative,4
2,IT,Hindering - Helpful,4
2,IT,Boring - Entertaining,5
2,IT,Ugly - Elegant,4
2,LB,Difficult to use - Easy to use,4
2,LB,Does not form immediate impression - Forms immediate impression,5
2,LB,Conventional - Innovative,5
2,LB,Redundant - Informative,5
2,LB,Hindering - Helpful,5
2,LB,Boring - Entertaining,5
2,LB,Ugly - Elegant,4
2,CSA,Difficult to use - Easy to use,4
2,CSA,Does not form immediate impression - Forms immediate impression,4
2,CSA,Conventional - Innovative,2
2,CSA,Redundant - Informative,3
2,CSA,Hindering - Helpful,4
2,CSA,Boring - Entertaining,3
2,CSA,Ugly - Elegant,3
3,IT,Difficult to use - Easy to use,4
3,IT,Does not form immediate impression - Forms immediate impression,5
3,IT,Conventional - Innovative,5
3,IT,Redundant - Informative,4
3,IT,Hindering - Helpful,4
3,IT,Boring - Entertaining,4
3,IT,Ugly - Elegant,4
3,LB,Difficult to use - Easy to use,4
3,LB,Does not form immediate impression - Forms immediate impression,4
3,LB,Conventional - Innovative,2
3,LB,Redundant - Informative,3
3,LB,Hindering - Helpful,3
3,LB,Boring - Entertaining,3
3,LB,Ugly - Elegant,4
3,CSA,Difficult to use - Easy to use,5
3,CSA,Does not form immediate impression - Forms immediate impression,4
3,CSA,Conventional - Innovative,4
3,CSA,Redundant - Informative,4
3,CSA,Hindering - Helpful,4
3,CSA,Boring - Entertaining,5
3,CSA,Ugly - Elegant,4
4,IT,Difficult to use - Easy to use,5
4,IT,Does not form immediate impression - Forms immediate impression,5
4,IT,Conventional - Innovative,1
4,IT,Redundant - Informative,5
4,IT,Hindering - Helpful,5
4,IT,Boring - Entertaining,4
4,IT,Ugly - Elegant,3
4,LB,Difficult to use - Easy to use,4
4,LB,Does not form immediate impression - Forms immediate impression,5
4,LB,Conventional - Innovative,4
4,LB,Redundant - Informative,2
4,LB,Hindering - Helpful,4
4,LB,Boring - Entertaining,1
4,LB,Ugly - Elegant,4
4,CSA,Difficult to use - Easy to use,5
4,CSA,Does not form immediate impression - Forms immediate impression,5
4,CSA,Conventional - Innovative,4
4,CSA,Redundant - Informative,1
4,CSA,Hindering - Helpful,4
4,CSA,Boring - Entertaining,4
4,CSA,Ugly - Elegant,3
5,IT,Difficult to use - Easy to use,4
